transaction_id,customer_id,amount,time_of_day,is_fraud,transaction_count,mean_transaction_amount,merchant_category_1,merchant_category_2,merchant_category_3,merchant_category_4,merchant_category_5,merchant_category_6
1,103,64.22908530389654,2.1168408909568965,0,6,47.743654686276024,False,False,False,False,True,False
2,180,44.21244105734617,14.565056197846319,0,6,51.91603575169403,True,False,False,False,False,False
3,93,21.695949609649702,3.638023028877119,0,7,52.055077506679716,False,False,False,False,True,False
4,15,61.908022714208464,0.7425034735522074,0,7,46.96298746592534,True,False,False,False,False,False
5,107,8.417445540510071,23.297811688253955,0,3,50.82416544482968,True,False,False,False,False,False
6,72,49.5705007525068,18.564933396829534,0,3,42.96429164429936,True,False,False,False,False,False
7,189,37.658191834262496,23.522615817930408,0,7,80.73684232284461,False,False,False,False,False,True
8,21,24.823159168956096,11.469082752533819,0,8,72.17312589946343,False,False,False,False,False,True
9,103,73.77602015304412,12.774180747575427,0,6,47.743654686276024,False,False,False,False,True,False
10,122,49.17383138838454,4.040086942059125,0,6,59.29029882946196,False,False,False,False,True,False
11,75,53.47932658339139,5.925778240022054,0,7,69.15535944520579,False,False,False,False,False,True
12,88,68.15743894484855,20.125181157667875,0,3,40.306499690820516,False,False,False,True,False,False
13,117,49.82418887393289,8.54845553082226,0,8,51.420905099759835,False,False,False,False,False,True
14,100,59.02822397294996,19.843559371114054,0,4,54.53917909222488,True,False,False,False,False,False
15,104,66.31703240978179,17.016329382888763,0,8,33.50398350579577,False,False,False,False,False,True
16,152,61.33511853837652,4.252102206524772,0,10,90.05751475052911,True,False,False,False,False,False
17,131,55.719603323765675,12.178712786873811,0,6,51.35917119992383,False,False,False,False,True,False
18,150,85.66225670750113,16.257295716449203,0,3,184.36721979880284,False,False,False,True,False,False
19,53,74.83941196019713,5.640893155291803,0,8,41.575385055513046,False,False,False,False,True,False
20,2,48.28473661534333,19.936524252481846,0,5,44.40328458661639,True,False,False,False,False,False
21,88,31.806140997030944,13.075863781084482,0,3,40.306499690820516,True,False,False,False,False,False
22,158,62.77247299675288,3.965809210622477,0,4,56.93553391603794,True,False,False,False,False,False
23,38,54.31721296378011,13.991626227950459,0,5,54.534942764007816,False,False,False,True,False,False
24,130,84.17991326377667,23.993131299741936,0,8,58.13720545781657,False,False,False,False,False,True
25,192,69.74986011401444,3.6125157999219253,0,8,48.07796072982809,False,False,False,False,True,False
26,188,65.28408776003816,19.602166322868676,0,6,48.246933941755636,False,False,False,False,True,False
27,21,50.259030759081895,4.975416076501391,0,8,72.17312589946343,False,False,False,False,False,True
28,161,32.48602516665515,18.777319907042095,0,11,56.23316445273395,False,False,False,False,True,False
29,58,46.04074062597369,17.629870154913917,0,9,53.27240064245971,False,False,False,True,False,False
30,22,59.536561886482204,7.211745254410377,0,4,51.81468853299216,False,False,False,False,True,False
31,89,15.408398139817088,7.819754821546796,0,5,76.67264673124069,True,False,False,False,False,False
32,49,74.83427919304688,19.02051340711006,0,4,37.269021394416754,False,False,False,False,False,True
33,59,91.3408800350276,11.074692285295503,0,5,166.59141858211274,False,False,False,True,False,False
34,170,11.101214192585008,17.53963268908341,0,7,66.94803814947628,False,False,False,False,False,True
35,188,21.995688979729287,3.5516195367800343,0,6,48.246933941755636,False,False,False,True,False,False
36,15,54.593249284662804,20.461386765637286,0,7,46.96298746592534,True,False,False,False,False,False
37,190,38.34838168730132,17.06123320037566,0,13,51.73076930782599,False,False,False,False,False,True
38,190,55.21812867663347,21.766627412036016,0,13,51.73076930782599,False,False,False,False,True,False
39,175,48.56651926885126,3.176937096839339,0,4,47.65856362005788,False,False,False,True,False,False
40,190,29.523629610218922,14.232348008654345,0,13,51.73076930782599,False,False,False,False,False,True
41,51,75.76812680356979,14.378894040967804,0,9,83.56461713021051,False,False,False,False,True,False
42,108,59.29033210485699,8.483057773122779,0,4,48.87581168013704,False,False,False,False,False,True
43,55,38.80516050543456,11.003194189662187,0,4,88.59027457400862,False,False,False,False,False,True
44,64,80.10050229321642,0.9115575189564833,0,2,165.84776932725728,False,False,False,False,False,True
45,131,39.83188090212495,17.900640927048286,0,6,51.35917119992383,False,False,False,True,False,False
46,51,25.16318966588933,13.183739505676176,0,9,83.56461713021051,False,False,False,False,True,False
47,135,53.67023646175471,1.3857852448601706,0,5,50.341539111185696,True,False,False,False,False,False
48,21,57.06315246445332,16.338141431051653,0,8,72.17312589946343,False,False,False,True,False,False
49,73,60.63833784437692,11.20276985354851,0,2,51.81938765064429,False,False,False,True,False,False
50,167,63.927022533049744,0.8270702262,0,4,54.61504445367518,False,False,False,True,False,False
51,18,60.32249457155382,23.27058544435429,0,3,50.70959641837203,True,False,False,False,False,False
52,132,59.50987282898348,22.778691434146573,0,8,106.88362434377053,False,False,False,False,True,False
53,89,38.5249239938367,12.309657987532741,0,5,76.67264673124069,False,False,False,False,True,False
54,60,36.38511450858892,2.2481380969418447,0,5,50.717531351515944,False,False,False,False,True,False
55,14,64.84729832518236,18.110909318366204,0,6,118.69363225030729,False,False,False,False,False,True
56,9,54.86913021399776,11.806346402537496,0,5,52.7635687783722,False,False,False,False,False,True
57,90,66.40491478972511,7.258739478945118,0,10,42.826934950495136,False,False,False,False,False,True
58,53,15.854456887448025,11.794036260685363,0,8,41.575385055513046,True,False,False,False,False,False
59,130,39.98427235164812,12.538659489731147,0,8,58.13720545781657,False,False,False,False,False,True
60,84,88.14037803821111,13.50508077653614,0,6,49.27397912473513,True,False,False,False,False,False
61,92,61.050663046948806,10.589369127727837,0,8,44.63298374264534,False,False,False,False,True,False
62,111,55.911009019583055,14.53812727533736,0,9,56.294062852336864,False,False,False,False,False,True
63,188,64.15848733939349,22.049633054553055,0,6,48.246933941755636,False,False,False,False,False,True
64,199,94.16901051732363,8.694434090366187,0,3,65.53069884080686,False,False,False,True,False,False
65,172,89.96099084574055,17.41719511727878,0,6,116.70685575446953,True,False,False,False,False,False
66,8,18.409584853748125,21.46686136378157,0,9,47.99709573169438,False,False,False,False,True,False
